AAB.variant.variant
AAQ.variant.variant
AAR.variant.variant
AEA.variant.variant
AEQ.variant.variant
AFA.variant.variant
AFB.variant.variant
AFP.variant.variant
AIG.variant.variant
APP.variant.variant
AQG.variant.variant
AQH.variant.variant
ARE.variant.variant
ASB.variant.variant
BRM.variant.variant
CBN.variant.variant
CFF.variant.variant
CPD.variant.variant
SACE_YAB.variant.variant
SACE_YAG.variant.variant
SACE_YDD.variant.variant
